local_ts_ms,recv_iso_utc,msg_ts_ms,event_type,bid_price,bid_qty,ask_price,ask_qty,change,trade_price,trade_size,trade_side,trade_tx_hash
1772368992781,2026-03-01T12:43:12.781+00:00,1772368992758,price_change,0.6,121.5,0.61,578.31,,,,,
1772368992781,2026-03-01T12:43:12.781+00:00,1772368992758,price_change,0.6,121.5,0.61,578.31,,,,,
1772368992781,2026-03-01T12:43:12.781+00:00,1772368992759,price_change,0.6,121.5,0.61,578.31,,,,,
1772368992781,2026-03-01T12:43:12.781+00:00,1772368992761,price_change,0.6,121.5,0.61,578.31,,,,,
1772368992781,2026-03-01T12:43:12.781+00:00,1772368992762,price_change,0.6,121.5,0.61,578.31,,,,,
1772368992781,2026-03-01T12:43:12.781+00:00,1772368992763,price_change,0.6,121.5,0.61,578.31,,,,,
1772368992781,2026-03-01T12:43:12.781+00:00,1772368992764,price_change,0.6,137.11,0.61,578.31,,,,,
1772368992783,2026-03-01T12:43:12.783+00:00,1772368992766,price_change,0.6,137.11,0.61,578.31,,,,,
1772368992783,2026-03-01T12:43:12.783+00:00,1772368992769,price_change,0.6,137.11,0.61,578.31,,,,,
1772368992805,2026-03-01T12:43:12.805+00:00,1772368992772,price_change,0.6,137.11,0.61,578.31,,,,,
1772368992805,2026-03-01T12:43:12.805+00:00,1772368992773,price_change,0.6,137.11,0.61,578.31,,,,,
1772368992805,2026-03-01T12:43:12.805+00:00,1772368992775,price_change,0.6,137.11,0.61,578.31,,,,,
1772368992805,2026-03-01T12:43:12.805+00:00,1772368992776,price_change,0.6,137.11,0.61,578.31,,,,,
1772368992805,2026-03-01T12:43:12.805+00:00,1772368992777,price_change,0.6,137.11,0.61,600.31,,,,,
1772368992805,2026-03-01T12:43:12.805+00:00,1772368992778,price_change,0.6,137.11,0.61,600.31,,,,,
1772368992805,2026-03-01T12:43:12.805+00:00,1772368992778,price_change,0.6,137.11,0.61,600.31,,,,,
1772368992805,2026-03-01T12:43:12.805+00:00,1772368992781,price_change,0.6,137.11,0.61,600.31,,,,,
1772368992805,2026-03-01T12:43:12.805+00:00,1772368992782,price_change,0.6,137.11,0.61,600.31,,,,,
1772368992805,2026-03-01T12:43:12.805+00:00,1772368992784,price_change,0.6,137.11,0.61,600.31,,,,,
1772368992806,2026-03-01T12:43:12.806+00:00,1772368992784,price_change,0.6,137.11,0.61,600.31,,,,,
1772368992806,2026-03-01T12:43:12.806+00:00,1772368992787,price_change,0.6,121.51,0.61,600.31,,,,,
1772368992813,2026-03-01T12:43:12.813+00:00,1772368992790,price_change,0.6,121.51,0.61,600.31,,,,,
